name,ctype,csubtype,contract,address,all_categories
Bima,DeFi,Asset Issuers,Factory,0xb3a2c6ca9093aaf13f752735e0759e3ca17002e3,DeFi::Asset Issuers
Bima,DeFi,Asset Issuers,LiquidationManager,0x1503e25a71923a6d349a1a267abc82587b11be6d,DeFi::Asset Issuers
Bima,DeFi,Asset Issuers,BorrowerOperations,0x2b9eb679aeb4ede15d7ad14e78ad6ea0500a4d6b,DeFi::Asset Issuers
Bima,DeFi,Asset Issuers,StabilityPool,0xc0b21504abf9a523a6e795d38cac70e7fdcdabb4,DeFi::Asset Issuers
Bima,DeFi,Asset Issuers,TroveManager,0xabe0a00ea09ab76bcd43f2105bfb7da6db1c8431,DeFi::Asset Issuers
Bima,DeFi,Asset Issuers,TokenLocker,0x3f3de2cfd9dd9282c4a3e8c79dbff40e7f0ff8a5,DeFi::Asset Issuers
Bima,DeFi,Asset Issuers,IncentiveVoting,0xcc5ad941bcf9c839926dc89bf05107b115c37d9c,DeFi::Asset Issuers
Bima,DeFi,Asset Issuers,BimaToken,0xc38b60716e634080d95eb8a921d4cfd07ced881e,DeFi::Asset Issuers
Bima,DeFi,Asset Issuers,BimaVault,0x931910d714e0bee05e54d6449cfb81d08b047556,DeFi::Asset Issuers
Bima,DeFi,Asset Issuers,MockOracle,0xec63b8a3a2402892d3e6ab97b89cf47132a29daa,DeFi::Asset Issuers
Bima,DeFi,Asset Issuers,BimaFaucet,0x15e47cf518073bd980f10a1064231db14238858a,DeFi::Asset Issuers
Bima,DeFi,Asset Issuers,newTroveManager,0xf5025c92154834a68faac4b3ed964d1ab4694c7e,DeFi::Asset Issuers
Bima,DeFi,Asset Issuers,multiCollateralHintHelpers,0xda9ab7d4bfbe63c76351c767ca85f7f4ef7fc2e9,DeFi::Asset Issuers
Bima,DeFi,Asset Issuers,multiTroveGetter,0x70e452a33558b45d5ccd5d57fe76b4b69f5707ce,DeFi::Asset Issuers
Bima,DeFi,Asset Issuers,troveManagerGetters,0x5bb2078d51ab323685a723bcd84db3810b67a699,DeFi::Asset Issuers
Bima,DeFi,Asset Issuers,Morpho,0x07c4b0db9c020296275dceb6381397ac58bbf5c7,DeFi::Asset Issuers
Bima,DeFi,Asset Issuers,MorphoChainlinkOracleV2Factory,0xd48d4178672354b2e075d632abdd30550a69635e,DeFi::Asset Issuers
Bima,DeFi,Asset Issuers,FixedRateIRM,0xc2d07bd8df5f33453e9ad4e77436b3eb70a09616,DeFi::Asset Issuers
Bima,DeFi,Asset Issuers,MorphoOracleAddress,0x7c47e0c69fb30fe451da48185c78f0c508b3e5b8,DeFi::Asset Issuers
Multipli.fi,DeFi,Asset Issuers,Fund,0xbcf1415bd456edb3a94c9d416f9298ecf9a2cdd0,DeFi::Asset Issuers
PumpBTC,DeFi,Asset Issuers,default,0x66e2ed18824827f2ff75c594545c8ddc7d5132cd,DeFi::Asset Issuers
Renzo,DeFi,Asset Issuers,default,0x2416092f143378750bb29b79ed961ab195cceea5,DeFi::Asset Issuers
Solv Protocol,DeFi,Asset Issuers,SolvBTC,0x1cf0e51005971c5b78b4a8fee419832cfccd8cf9,DeFi::Asset Issuers
Solv Protocol,DeFi,Asset Issuers,SolvBTCBBN,0xb4618618b6fcb61b72fed991adcc344f43ee57ad,DeFi::Asset Issuers
Solv Protocol,DeFi,Asset Issuers,Redemption,0xf0d07e4fe0b5fc6beff0450790d816e2ba2c0daa,DeFi::Asset Issuers
Solv Protocol,DeFi,Asset Issuers,SolvBTCOracle,0xe7f781fc5469bd6ebe358259beaf4bb8b1825df8,DeFi::Asset Issuers
Solv Protocol,DeFi,Asset Issuers,SolvBTCBBNOracle,0x0036a9c8404e7f2ac574855df2119d10950a7a58,DeFi::Asset Issuers
Solv Protocol,DeFi,Asset Issuers,NAVManager,0x9656debe0ca2d161624f79ef3c9d077b6d82f031,DeFi::Asset Issuers
Solv Protocol,DeFi,Asset Issuers,RiskManager,0xafcb2221f3babb226ade8dce73479c5496902a04,DeFi::Asset Issuers
Solv Protocol,DeFi,Asset Issuers,Carry,0x2e51f039fc2de139af3d5a4bd6898d67c3442bb0,DeFi::Asset Issuers
Garden,DeFi,Cross Chain,Multicall,0x13dcec0762ecc5e666c207ab44dc768e5e33070f,DeFi::Cross Chain
Ambient,DeFi,DEX,Dex,0x88b96af200c8a9c35442c8ac6cd3d22695aae4f0,DeFi::DEX
Ambient,DeFi,DEX,Query,0x1c74dd2df010657510715244da10ba19d1f3d2b7,DeFi::DEX
Ambient,DeFi,DEX,PriceImpactCalculator,0x70a6a0c905af5737ad73ceba4e6158e995031d4b,DeFi::DEX
Amertis,DeFi,DEX,router,0xa89aa6a1f0347f38d75918e07e8a321eb3c8fc09,DeFi::DEX
Atlantis,DeFi,DEX,Faucet,0xe87a971729d5c0696de97e37aafe31c70f2dc814,DeFi::DEX
Atlantis,DeFi,DEX,V2SwapFactory,0xa2b78d020a4521866e129e27505b6c20ae9e3852,DeFi::DEX
Atlantis,DeFi,DEX,V2SwapRouterV2,0xc7e09b556e1a00cfc40b1039d6615f8423136df7,DeFi::DEX
Atlantis,DeFi,DEX,AlgebraPoolDeployer,0xd7cb0e0692f2d55a17ba81c1fe5501d66774fc4a,DeFi::DEX
Atlantis,DeFi,DEX,AlgebraFactory,0x10253594a832f967994b44f33411940533302acb,DeFi::DEX
Atlantis,DeFi,DEX,AlgebraCommunityVault,0x4439199c3743161ca22bb8f8b6dec5bf6ff65b04,DeFi::DEX
Atlantis,DeFi,DEX,AlgebraVaultFactoryStub,0x955b95b8532fe75ddcf2161f61127be74a768158,DeFi::DEX
Atlantis,DeFi,DEX,PluginFactory,0xfe3becd788320465ab649015f34f7771220a88b2,DeFi::DEX
Atlantis,DeFi,DEX,EntryPoint,0x4a3bc48c156384f9564fd65a53a2f3d534d8f2b7,DeFi::DEX
Atlantis,DeFi,DEX,TickLens,0x13fce0acbe6fb11641ab753212550574cad31415,DeFi::DEX
Atlantis,DeFi,DEX,Quoter,0x03f8b4b140249dc7b2503c928e7258cce1d91f1a,DeFi::DEX
Atlantis,DeFi,DEX,QuoterV2,0xa77ad9f635a3fb3bccc5e6d1a87cb269746aba17,DeFi::DEX
Atlantis,DeFi,DEX,SwapRouter,0x3012e9049d05b4b5369d690114d5a5861ebb85cb,DeFi::DEX
Atlantis,DeFi,DEX,NonfungibleTokenPositionDescriptor,0xd637cbc214bc3dd354abb309f4fe717ffdd0b28c,DeFi::DEX
Atlantis,DeFi,DEX,Proxy,0x6ad6a4f233f1e33613e996ccc17409b93ff8bf5f,DeFi::DEX
Atlantis,DeFi,DEX,NonfungiblePositionManager,0x69d57b9d705ead73a5d2f2476c30c55bd755cc2f,DeFi::DEX
